INFRACCIONES,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
    1.1.1.-Homicidios dolosos/asesinatos consumados,1.0,2.0,0.0,3.0,2.0,1.0,2.0,4.0,3.0,4.0,0.0,2.0,
    1.2.-Lesiones,655.0,565.0,748.0,686.0,727.0,752.0,719.0,823.0,819.0,864.0,892.0,913.0,
    1.3.-Malos tratos ámbito familiar,611.0,603.0,641.0,581.0,534.0,536.0,564.0,564.0,504.0,550.0,533.0,500.0,
    1.4.-Otros contra las personas,36.0,45.0,66.0,39.0,32.0,22.0,344.0,718.0,739.0,875.0,814.0,743.0,
    2. CONTRA LA LIBERTAD,901.0,682.0,728.0,703.0,700.0,704.0,416.0,218.0,232.0,202.0,309.0,249.0,
    2.1.-Malos tratos habituales en el ámbito familiar,101.0,67.0,78.0,73.0,92.0,79.0,86.0,79.0,92.0,52.0,93.0,90.0,
    2.2.-Otros contra la libertad,800.0,615.0,650.0,630.0,608.0,625.0,330.0,139.0,140.0,150.0,216.0,159.0,
    3. LIBERTAD SEXUAL,124.0,82.0,115.0,104.0,60.0,64.0,80.0,55.0,62.0,60.0,65.0,72.0,
    3.1.-Agresión sexual,15.0,12.0,23.0,16.0,9.0,19.0,15.0,20.0,19.0,16.0,22.0,20.0,
    3.2.-Agresión sexual con penetración,13.0,7.0,10.0,12.0,4.0,7.0,6.0,6.0,6.0,5.0,8.0,8.0,
    3.3.-Corrupción de menores o incapacitados,4.0,5.0,4.0,7.0,3.0,3.0,5.0,1.0,1.0,0.0,2.0,3.0,
    3.4.-Pornografía de menores,3.0,4.0,11.0,9.0,5.0,3.0,5.0,3.0,4.0,2.0,1.0,3.0,
    3.5.-Otros contra la libertad e indemnidad sexual,89.0,54.0,67.0,60.0,39.0,32.0,49.0,25.0,32.0,37.0,32.0,38.0,
    4. RELACIONES FAMILIARES,60.0,63.0,74.0,63.0,75.0,77.0,87.0,86.0,121.0,85.0,72.0,66.0,
    5. PATRIMONIO,8090.0,7534.0,9529.0,9435.0,8590.0,8202.0,8896.0,9454.0,10306.0,10452.0,10231.0,10134.0,
    5.1.-Hurtos,2482.0,2176.0,3493.0,3842.0,4055.0,4028.0,4501.0,4651.0,4963.0,4879.0,4683.0,4516.0,
    5.2.-Robos con fuerza en las cosas,1116.0,1199.0,1769.0,1744.0,1708.0,1666.0,1851.0,2190.0,2529.0,2683.0,2608.0,2790.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,335.0,387.0,544.0,497.0,358.0,404.0,411.0,577.0,657.0,607.0,635.0,623.0,
    5.2.2.-Robos con fuerza en viviendas,398.0,468.0,736.0,726.0,703.0,682.0,725.0,755.0,837.0,867.0,857.0,797.0,
    5.2.3.-Robos con fuerza en establecimientos,145.0,117.0,191.0,222.0,327.0,189.0,203.0,233.0,262.0,304.0,302.0,383.0,
    5.3.-Robos con violencia o intimidación,176.0,145.0,252.0,240.0,195.0,190.0,198.0,215.0,338.0,325.0,323.0,346.0,
    5.3.1.-Robos con violencia en vía pública,92.0,80.0,168.0,145.0,114.0,116.0,130.0,134.0,205.0,215.0,202.0,236.0,
    5.3.2.-Robos con violencia en viviendas,17.0,23.0,23.0,19.0,19.0,13.0,21.0,15.0,39.0,25.0,32.0,24.0,
    5.3.3.-Robos con violencia en establecimientos,41.0,30.0,26.0,30.0,27.0,21.0,23.0,35.0,38.0,34.0,37.0,57.0,
    5.4.-Sustracción de vehículos,97.0,74.0,94.0,99.0,122.0,206.0,168.0,221.0,173.0,214.0,289.0,295.0,
    5.5.-Estafas,2498.0,2467.0,2154.0,1730.0,1028.0,755.0,744.0,674.0,676.0,680.0,603.0,474.0,
    5.5.1.-Estafas informáticas,2164.0,2117.0,1727.0,1210.0,539.0,331.0,345.0,270.0,246.0,190.0,174.0,117.0,
    5.6.-Daños,1318.0,1112.0,1350.0,1392.0,1211.0,1126.0,1224.0,1310.0,1438.0,1497.0,1547.0,1546.0,
    5.7.-Contra la propiedad intelectual/industrial,7.0,3.0,12.0,41.0,10.0,4.0,3.0,12.0,8.0,15.0,12.0,26.0,
    5.8.-Blanqueo de capitales,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,
    5.9.-Otros contra el patrimonio,396.0,358.0,403.0,345.0,261.0,225.0,206.0,181.0,180.0,159.0,166.0,141.0,
